Start time = 1674613406889;
Timestamp;PPI
1674613732389;685
1674613733111;722
1674613733815;704
1674613734540;725
1674613735271;731
1674613736017;746
1674613736763;746
1674613737484;721
1674613738226;742
1674613738976;750
1674613739747;771
1674613740510;763
1674613741254;744
1674613741998;744
1674613742748;750
1674613743460;712
1674613744179;719
1674613744926;747
1674613745682;756
1674613746429;747
1674613747203;774
1674613748000;797
1674613748774;774
1674613749522;748
1674613750282;760
1674613751040;758
1674613751806;766
1674613752559;753
1674613753307;748
1674613754061;754
1674613754823;762
1674613755582;759
1674613756350;768
1674613757115;765
1674613757893;778
1674613758651;758
1674613759416;765
1674613760182;766
1674613760954;772
1674613761716;762
1674613762510;794
1674613763298;788
1674613764102;804
1674613764871;769
1674613765639;768
1674613766405;766
1674613767174;769
1674613767929;755
1674613768693;764
1674613769476;783
1674613770260;784
1674613771048;788
1674613771853;805
1674613772648;795
1674613773417;769
1674613774192;775
1674613774967;775
1674613775749;782
1674613776511;762
1674613777292;781
1674613778073;781
1674613778845;772
1674613779582;737
1674613780331;749
1674613781100;769
1674613781862;762
1674613782608;746
1674613783366;758
1674613784119;753
1674613784875;756
1674613785612;737
1674613786365;753
1674613787132;767
1674613787892;760
1674613788625;733
1674613789368;743
1674613790138;770
1674613790911;773
1674613791681;770
1674613792473;792
1674613793281;808
1674613794075;794
1674613794877;802
1674613795660;783
1674613796439;779
1674613797183;744
1674613797934;751
1674613798679;745
1674613799436;757
1674613800173;737
1674613800926;753
1674613801689;763
1674613802460;771
1674613803218;758
1674613803996;778
1674613804782;786
1674613805539;757
1674613806287;748
1674613807054;767
1674613807847;793
1674613808640;793
1674613809416;776
1674613810187;771
1674613810958;771
1674613811710;752
1674613812475;765
1674613813235;760
1674613814002;767
1674613814737;735
1674613815493;756
1674613816262;769
1674613817023;761
1674613817804;781
1674613818588;784
1674613819396;808
1674613820199;803
1674613820999;800
1674613821794;795
1674613822565;771
1674613823305;740
1674613824053;748
1674613824797;744
1674613825540;743
1674613826284;744
1674613827036;752
1674613827806;770
1674613828552;746
1674613829289;737
1674613830021;732
1674613830750;729
1674613831460;710
1674613832183;723
1674613832917;734
1674613833663;746
1674613834394;731
1674613835132;738
1674613835879;747
1674613836622;743
1674613837354;732
1674613838086;732
1674613838819;733
1674613839549;730
1674613840262;713
1674613840982;720
1674613841714;732
1674613842439;725
1674613843161;722
1674613843903;742
1674613844670;767
1674613845425;755
1674613846176;751
1674613846940;764
1674613847711;771
1674613848447;736
1674613849194;747
1674613849947;753
1674613850701;754
1674613851437;736
1674613852166;729
1674613852906;740
1674613853638;732
1674613854371;733
1674613855116;745
1674613855883;767
1674613856634;751
1674613857403;769
1674613858173;770
1674613858936;763
1674613859665;729
1674613860398;733
1674613861130;732
1674613861861;731
1674613862559;698
1674613863295;736
1674613864032;737
1674613864778;746
1674613865506;728
1674613866248;742
1674613866994;746
1674613867730;736
1674613868447;717
1674613869184;737
1674613869943;759
1674613870688;745
1674613871430;742
1674613872177;747
1674613872934;757
1674613873676;742
1674613874437;761
1674613875216;779
1674613875995;779
1674613876738;743
1674613877482;744
1674613878227;745
1674613878978;751
1674613879717;739
1674613880465;748
1674613881232;767
1674613881965;733
1674613882714;749
1674613883453;739
1674613884185;732
1674613884887;702
1674613885615;728
1674613886349;734
1674613887084;735
1674613887819;735
1674613888557;738
1674613889301;744
1674613890025;724
1674613890752;727
1674613891478;726
1674613892217;739
1674613892946;729
1674613893676;730
1674613894403;727
1674613895128;725
1674613895839;711
1674613896569;730
1674613897318;749
1674613898086;768
1674613898834;748
1674613899610;776
1674613900388;778
1674613901154;766
1674613901904;750
1674613902662;758
1674613903412;750
1674613904143;731
1674613904874;731
1674613905615;741
1674613906374;759
1674613907105;731
1674613907893;788
1674613908503;610
1674613909223;720
1674613909998;775
1674613910706;708
1674613912147;1441
1674613913577;1430
1674613914177;600
1674613914879;702
1674613915469;590
1674613916043;574
1674613916666;623
1674613917257;591
1674613917863;606
1674613918361;498
1674613919141;780
1674613919818;677
1674613920381;563
1674613921062;681
1674613921708;646
1674613922335;627
1674613922965;630
1674613923586;621
1674613924228;642
1674613924854;626
