Start time = 1674615216524;
Timestamp;PPI
1674615528431;758
1674615529200;769
1674615529946;746
1674615530699;753
1674615531478;779
1674615532263;785
1674615533032;769
1674615533798;766
1674615534561;763
1674615535316;755
1674615536019;703
1674615536733;714
1674615537470;737
1674615538212;742
1674615538951;739
1674615539749;798
1674615540590;841
1674615541430;840
1674615542250;820
1674615543150;900
1674615543970;820
1674615544827;857
1674615545667;840
1674615546475;808
1674615547248;773
1674615547952;704
1674615548820;868
1674615549596;776
1674615550325;729
1674615551068;743
1674615551814;746
1674615552550;736
1674615553240;690
1674615553924;684
1674615554627;703
1674615555367;740
1674615556118;751
1674615557023;905
1674615558311;1288
1674615559073;762
1674615559763;690
1674615560425;662
1674615561082;657
1674615561699;617
1674615562316;617
1674615562945;629
1674615563634;689
1674615564312;678
1674615564939;627
1674615565624;685
1674615566302;678
1674615567016;714
1674615567761;745
1674615568433;672
1674615569166;733
1674615569869;703
