Start time = 1674615698931;
Timestamp;PPI
1674616016322;735
1674616017104;782
1674616017807;703
1674616018286;479
1674616019194;908
1674616019830;636
1674616020459;629
1674616021097;638
1674616021712;615
1674616022378;666
1674616023102;724
1674616023828;726
1674616024557;729
1674616025316;759
1674616026101;785
1674616026868;767
1674616027654;786
1674616028422;768
1674616029169;747
1674616029865;696
1674616030566;701
1674616031328;762
1674616032095;767
1674616032873;778
1674616033651;778
1674616034440;789
1674616035238;798
1674616036003;765
1674616036801;798
1674616037611;810
1674616038418;807
1674616039230;812
1674616040047;817
1674616040890;843
1674616041682;792
1674616042495;813
1674616043315;820
1674616044120;805
1674616044936;816
1674616045759;823
1674616046553;794
1674616047353;800
1674616048160;807
1674616048989;829
1674616049780;791
1674616050591;811
1674616051440;849
1674616052268;828
1674616053066;798
1674616053873;807
1674616054685;812
1674616055459;774
1674616056237;778
1674616057015;778
1674616057794;779
1674616058563;769
1674616059342;779
1674616060138;796
1674616060880;742
1674616061631;751
1674616062392;761
1674616062937;545
1674616063955;1018
1674616064688;733
1674616065344;656
1674616066146;802
1674616066850;704
1674616067574;724
1674616068279;705
1674616069023;744
1674616069701;678
1674616070430;729
1674616071191;761
1674616071969;778
1674616072601;632
1674616073339;738
1674616074072;733
1674616074823;751
1674616075553;730
1674616076326;773
1674616077972;1646
1674616079545;1573
1674616080190;645
1674616080875;685
1674616081549;674
1674616082106;557
1674616083041;935
1674616083750;709
1674616084717;967
1674616085498;781
1674616086185;687
1674616086890;705
1674616087595;705
1674616088290;695
1674616088990;700
1674616089672;682
1674616090362;690
1674616091035;673
1674616091692;657
1674616092371;679
1674616093057;686
1674616093775;718
1674616094511;736
1674616095298;787
1674616096114;816
1674616097001;887
1674616097853;852
1674616098634;781
1674616099347;713
1674616099757;410
1674616100408;651
1674616100980;572
1674616101482;502
1674616101988;506
1674616102664;676
1674616103083;419
1674616103528;445
1674616104300;772
1674616105166;866
1674616106029;863
1674616106888;859
1674616107735;847
1674616108559;824
1674616109330;771
1674616110102;772
1674616110884;782
1674616111662;778
1674616112426;764
1674616113190;764
1674616113951;761
1674616114713;762
1674616115450;737
1674616116230;780
1674616117028;798
1674616117837;809
1674616118621;784
1674616119424;803
1674616120254;830
1674616121076;822
1674616121875;799
1674616122680;805
1674616123480;800
1674616124245;765
1674616125021;776
1674616125820;799
1674616126611;791
1674616127383;772
1674616128176;793
1674616128974;798
1674616129756;782
1674616130556;800
1674616131347;791
1674616132128;781
1674616132929;801
1674616133737;808
1674616134508;771
1674616135312;804
1674616136124;812
1674616136897;773
1674616137670;773
1674616138446;776
1674616139227;781
1674616139971;744
1674616140742;771
1674616141515;773
1674616142300;785
1674616143107;807
1674616143916;809
1674616144738;822
1674616145535;797
1674616146347;812
1674616147170;823
1674616147934;764
1674616148698;764
1674616149481;783
1674616150271;790
1674616151044;773
1674616151839;795
1674616152657;818
1674616153449;792
1674616154240;791
1674616155028;788
1674616155821;793
1674616156573;752
1674616157339;766
1674616158123;784
1674616158925;802
1674616159682;757
1674616160471;789
1674616161253;782
1674616162040;787
1674616162826;786
1674616163636;810
1674616164448;812
1674616165237;789
1674616166046;809
1674616166848;802
1674616167648;800
1674616168407;759
1674616169180;773
1674616169942;762
1674616170673;731
1674616171421;748
1674616172189;768
1674616172967;778
1674616173721;754
1674616174513;792
1674616175313;800
1674616176119;806
1674616176927;808
1674616177752;825
1674616178568;816
1674616179356;788
1674616180164;808
1674616180965;801
1674616181736;771
1674616182506;770
1674616183294;788
1674616184094;800
1674616184868;774
1674616185671;803
1674616186485;814
1674616187260;775
1674616188059;799
1674616188855;796
1674616189644;789
1674616190420;776
1674616191203;783
1674616191958;755
1674616192698;740
1674616193442;744
1674616194204;762
1674616194960;756
1674616195732;772
1674616196529;797
1674616197309;780
1674616198091;782
1674616198902;811
1674616199720;818
1674616200480;760
1674616201261;781
1674616202044;783
1674616202798;754
1674616203567;769
1674616204346;779
1674616205133;787
1674616205875;742
1674616206632;757
1674616207380;748
1674616208117;737
1674616208879;762
1674616209666;787
1674616210447;781
1674616211240;793
1674616211858;618
1674616212833;975
1674616213598;765
1674616214310;712
1674616215061;751
1674616215818;757
1674616216577;759
1674616217338;761
1674616218101;763
1674616218872;771
1674616219607;735
1674616220373;766
1674616221150;777
1674616221865;715
1674616222579;714
1674616223290;711
1674616224038;748
1674616224794;756
1674616225566;772
1674616226360;794
1674616227171;811
1674616227990;819
1674616228803;813
1674616229620;817
1674616230429;809
1674616231218;789
1674616232014;796
1674616232800;786
1674616233548;748
1674616234303;755
1674616235094;791
1674616235890;796
1674616236662;772
1674616237475;813
1674616238291;816
1674616239112;821
1674616239918;806
1674616240731;813
1674616241529;798
1674616242296;767
1674616243080;784
1674616243867;787
1674616244644;777
1674616245418;774
1674616246198;780
1674616246980;782
1674616247733;753
1674616248497;764
1674616249289;792
1674616250071;782
1674616250821;750
1674616251586;765
1674616252371;785
1674616253132;761
1674616253913;781
1674616254690;777
1674616255487;797
1674616256259;772
1674616257048;789
1674616257828;780
1674616258606;778
1674616259380;774
1674616260165;785
1674616260950;785
1674616261706;756
1674616262463;757
1674616263249;786
1674616264026;777
1674616264812;786
1674616265914;1102
1674616266643;729
1674616267471;828
1674616268602;1131
1674616269427;825
1674616270936;1509
1674616272593;1657
1674616274026;1433
1674616274866;840
1674616275868;1002
1674616278230;2362
1674616279371;1141
1674616280795;1424
1674616281559;764
1674616282304;745
1674616283123;819
1674616283810;687
1674616284640;830
1674616285466;826
1674616287641;2175
1674616288792;1151
1674616291111;2319
1674616291931;820
1674616292562;631
1674616293257;695
1674616294099;842
1674616294898;799
1674616296188;1290
1674616296846;658
1674616297611;765
1674616298391;780
1674616299020;629
1674616299633;613
1674616300451;818
1674616301185;734
1674616301846;661
1674616302519;673
1674616303191;672
1674616303871;680
1674616304565;694
1674616305218;653
1674616305892;674
1674616306576;684
1674616307298;722
1674616307999;701
1674616308715;716
1674616309432;717
1674616310263;831
1674616310950;687
1674616311664;714
1674616312413;749
1674616313192;779
1674616313994;802
1674616314803;809
1674616315630;827
1674616316483;853
1674616317291;808
1674616318111;820
1674616318915;804
1674616319703;788
1674616320505;802
1674616321310;805
1674616322122;812
1674616322888;766
1674616323670;782
1674616324467;797
1674616325278;811
1674616326050;772
1674616326829;779
1674616327634;805
1674616328428;794
1674616329223;795
1674616330020;797
1674616330832;812
1674616331605;773
1674616332400;795
1674616333215;815
1674616334003;788
1674616334785;782
1674616335590;805
1674616336394;804
1674616337164;770
1674616337960;796
1674616338752;792
1674616339526;774
1674616340299;773
1674616341078;779
1674616341874;796
1674616342640;766
1674616343430;790
1674616344222;792
1674616345015;793
1674616345796;781
1674616346586;790
1674616347377;791
1674616348142;765
1674616348945;803
1674616349744;799
1674616350515;771
1674616351310;795
1674616352131;821
1674616352951;820
1674616353731;780
1674616354533;802
1674616355346;813
1674616356126;780
1674616356905;779
1674616357698;793
1674616358491;793
1674616359240;749
1674616360010;770
1674616360799;789
