Start time = 1674616863509;
Timestamp;PPI
1674616875527;336
1674616876761;1234
1674616877448;687
1674616878212;764
1674616878903;691
1674616879728;825
1674616881209;1481
1674616881981;772
1674616882716;735
1674616883417;701
1674616884190;773
1674616884919;729
1674616885660;741
1674616886405;745
1674616887156;751
1674616887904;748
1674616888679;775
1674616889491;812
1674616890273;782
1674616891049;776
1674616891831;782
1674616892619;788
1674616893410;791
1674616894213;803
1674616895037;824
1674616896021;984
1674616897376;1355
1674616898175;799
1674616898957;782
1674616899719;762
1674616900479;760
1674616901267;788
1674616902076;809
1674616902846;770
1674616903629;783
1674616904423;794
1674616905216;793
1674616905988;772
1674616906766;778
1674616907556;790
1674616908361;805
1674616909162;801
1674616909983;821
1674616910827;844
1674616911702;875
1674616912525;823
1674616913337;812
1674616914139;802
1674616914915;776
1674616915673;758
1674616916440;767
1674616917231;791
1674616918052;821
1674616918835;783
1674616919633;798
1674616920449;816
1674616921273;824
1674616922064;791
1674616922872;808
1674616923692;820
1674616924484;792
1674616925276;792
1674616926100;824
1674616926969;869
1674616927785;816
1674616928577;792
1674616929333;756
1674616930116;783
1674616930845;729
1674616931601;756
1674616932403;802
1674616933279;876
1674616934117;838
1674616934985;868
1674616935857;872
1674616936716;859
1674616937547;831
1674616938354;807
1674616939148;794
1674616939895;747
1674616940647;752
1674616941399;752
1674616942169;770
1674616942907;738
1674616943651;744
1674616944416;765
1674616945215;799
1674616945994;779
1674616946798;804
1674616947637;839
1674616948454;817
1674616949278;824
1674616950109;831
1674616950954;845
1674616951727;773
1674616952508;781
1674616953307;799
1674616954104;797
1674616954873;769
1674616955661;788
1674616956469;808
1674616957274;805
1674616958073;799
1674616958867;794
1674616959667;800
1674616960438;771
1674616961214;776
1674616961999;785
1674616962768;769
1674616963527;759
1674616964324;797
1674616965116;792
1674616965882;766
1674616966654;772
1674616967433;779
1674616968196;763
1674616968959;763
1674616969734;775
1674616970520;786
1674616971286;766
1674616972057;771
1674616972852;795
1674616973676;824
