section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,1,1674616872462051236,1674616873245979236,783,272.884,690.79,-20.941211433622335,-12.9128886171471
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,2,1674616873621974236,1674616873778099236,156,547.594,923.916,0.14301304524987538,-30.789540209462864
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,3,1674616873829957236,1674616874229966236,400,529.519,894.235,-1.3459208892774321,-28.538506330813767
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,4,1674616874278203236,1674616874401970236,123,572.408,708.299,2.0449240455233477,-14.516321934922185
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,5,1674616874577999236,1674616874706024236,128,547.49,693.162,0.12662108550513115,-13.379639437563352
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,6,1674616874769958236,1674616874837987236,68,551.897,695.705,0.46493401659065375,-13.570985617712099
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,7,1674616875074074236,1674616875190009236,115,568.151,745.569,1.7330159091765245,-17.323347929837407
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,8,1674616875314038236,1674616876021984236,707,556.545,740.009,0.8301295996997304,-16.906807954680268
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,9,1674616876049963236,1674616876189979236,140,542.104,775.867,-0.2937173999104754,-19.608065433009223
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,10,1674616876509981236,1674616879089954236,2579,542.968,749.963,-0.2239178489057222,-17.657023400435502
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,11,1674616879281908236,1674616879374000236,92,529.195,246.764,-1.3125871869899575,20.322542548626657
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,12,1674616879421920236,1674616880162053236,740,551.523,471.247,0.4294875105037642,3.3511209673326503
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,13,1674616880189981236,1674616880937988236,748,584.514,527.89,2.915619812062696,-0.9226215629324428
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,14,1674616881161983236,1674616881613951236,451,524.519,474.386,-1.6082557880846045,3.1139057558052143
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,15,1674616881641995236,1674616881729933236,87,546.49,497.345,0.04962627829505533,1.3814717057874168
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,16,1674616881857980236,1674616881977944236,119,550.635,493.068,0.3621850183463214,1.704209032381861
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,17,1674616882074212236,1674616882594020236,519,712.576,702.268,12.814522699111997,-13.947137729053347
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,18,1674616882678033236,1674616883094120236,416,492.104,458.145,-4.058313380033434,4.336994417132018
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,19,1674616883221981236,1674616883293978236,71,421.543,783.138,-9.769053804240336,-20.064042314071113
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,20,1674616883341991236,1674616884058019236,716,391.291,706.658,-11.892797921240083,-14.29411120192849
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,21,1674616884110016236,1674616884270215236,160,517.704,571.685,-2.1235463730919735,-4.225213203413997
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,22,1674616884329940236,1674616884509966236,180,577.507,475.519,2.3899297301459725,3.0278503250025244
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,23,1674616884538103236,1674616886609885236,2071,591.769,445.84,3.472747230938406,5.266045172868936
6044b25c-8189-40b1-abbf-5b700453e1ee,1b83f533-8348-4851-a985-1b3ffab03256,24,1674616886637904236,1674616886953957236,316,545.018,483.792,-0.06142532044604416,2.404254073715008
