Start time = 1674614052227;
Timestamp;PPI
1674614374770;759
1674614375560;790
1674614376352;792
1674614377115;763
1674614377894;779
1674614378680;786
1674614379450;770
1674614380218;768
1674614380998;780
1674614381786;788
1674614382556;770
1674614383334;778
1674614384131;797
1674614384935;804
1674614385718;783
1674614386509;791
1674614387307;798
1674614388098;791
1674614388868;770
1674614389635;767
1674614390407;772
1674614391188;781
1674614391962;774
1674614392755;793
1674614393563;808
1674614394343;780
1674614395143;800
1674614395943;800
1674614396739;796
1674614397509;770
1674614398278;769
1674614399049;771
1674614399827;778
1674614400581;754
1674614401346;765
1674614402116;770
1674614402885;769
1674614403637;752
1674614404408;771
1674614405193;785
1674614405987;794
1674614406774;787
1674614407599;825
1674614408433;834
1674614409235;802
1674614410029;794
1674614410807;778
1674614411560;753
1674614412282;722
1674614413015;733
1674614413758;743
1674614414493;735
1674614415218;725
1674614415983;765
1674614416767;784
1674614417543;776
1674614418349;806
1674614419185;836
1674614420009;824
1674614420797;788
1674614421593;796
1674614422390;797
1674614423161;771
1674614423902;741
1674614424639;737
1674614425388;749
1674614426124;736
1674614426839;715
1674614427568;729
1674614428317;749
1674614429046;729
1674614429778;732
1674614430532;754
1674614431290;758
1674614432038;748
1674614432787;749
1674614433543;756
1674614434291;748
1674614435025;734
1674614435775;750
1674614436516;741
1674614437229;713
1674614437954;725
1674614438690;736
1674614439433;743
1674614440169;736
1674614440914;745
1674614441668;754
1674614442428;760
1674614443156;728
1674614443882;726
1674614444639;757
1674614445414;775
1674614446175;761
1674614446944;769
1674614447715;771
1674614448492;777
1674614449233;741
1674614449993;760
1674614450762;769
1674614451517;755
1674614452286;769
1674614453058;772
1674614453840;782
1674614454597;757
1674614455345;748
1674614456091;746
1674614456831;740
1674614457564;733
1674614458287;723
1674614459018;731
1674614459766;748
1674614460509;743
1674614461249;740
1674614461993;744
1674614462745;752
1674614463550;805
1674614464183;633
1674614464936;753
1674614466618;1682
1674614467774;1156
1674614469036;1262
1674614469660;624
1674614470286;626
1674614470912;626
1674614471561;649
1674614472256;695
1674614472896;640
1674614473520;624
1674614474142;622
1674614474763;621
1674614475369;606
1674614475967;598
1674614476555;588
1674614477173;618
1674614477786;613
1674614478390;604
1674614479007;617
1674614479660;653
1674614480312;652
1674614481137;825
1674614481729;592
1674614482418;689
1674614483140;722
1674614483877;737
1674614484587;710
1674614485317;730
1674614486074;757
1674614486870;796
1674614487667;797
1674614488476;809
1674614489301;825
1674614490129;828
1674614490951;822
1674614491731;780
1674614492509;778
1674614493286;777
1674614494051;765
1674614494780;729
1674614495485;705
1674614496211;726
1674614496943;732
1674614497677;734
1674614498390;713
1674614499113;723
1674614499844;731
1674614500585;741
1674614501324;739
1674614502051;727
1674614502791;740
1674614503543;752
1674614504309;766
1674614505047;738
1674614505786;739
1674614506537;751
1674614507290;753
