File;x_mean;x_std;x_min;x_max;x_25;x_50;x_75;y_mean;y_std;y_min;y_max;y_25;y_50;y_75;False Fixation, per minute;False Saccades, per minute;Saccades with amplitude > 6 degrees, per minute;Saccades with amplitude < 6 degrees, per minute;Max Curve;Average Curve;Min Curve;Time Frame;Saccades time;Fixation time < 150 ms;Fixation time > 150 ms;Fixation time between 150 and 900 ms;Fixation time > 900 ms;Fixation time < 180 ms;Fixation time > 180 ms;% of Fixations < 150 ms;% of Fixations > 150 ms;% of Fixations between 150 and 900 ms;% of Fixations > 900 ms;% of Fixations < 180 ms;% of Fixations > 180 ms;Fixation time < 150 ms, per time;Fixation time > 150 ms, per time;Fixation time between 150 and 900 ms, per time;Fixation time > 900 ms, per time;Fixation time < 180 ms, per time;Fixation time > 180 ms, per time;% of Fixations < 150 ms, per minute;% of Fixations > 150 ms, per minute;% of Fixations between 150 and 900 ms, per minute;% of Fixations > 900 ms, per minute;% of Fixations < 180 ms, per minute;% of Fixations > 180 ms, per minute;Fixation Frequency;Average Fix Frequency in interval (1s);Max Fix Frequency in interval (1s);Average Acceleration;Min Acceleration;Max Acceleration;Average Speed;Min Speed;Max Speed;Average Acceleration in interval (1s);Min Acceleration in interval (1s);Max Acceleration in interval (1s);Average Speed in interval (1s);Min Speed in interval (1s);Max Speed in interval (1s);Average Fixation Speed;Min Fixation Speed;Max Fixation Speed;Average Fixation Speed, < 150ms;Min Fixation Speed, < 150ms;Max Fixation Speed, < 150ms;Average Fixation Speed, > 150ms;Min Fixation Speed, > 150ms;Max Fixation Speed, > 150ms;Average Saccade Speed;Min Saccade Speed;Max Saccade Speed;Average Saccade Length;Min Saccade Length;Max Saccade Length;Average Saccade Time;Min Saccade Time;Max Saccade Time;AU_cat
Participant 10 23-04-13-crt1-afternoon;0.40224955177732535;0.06721160184394953;0.16163009755751667;0.7752753987031824;0.3650221263661104;0.3989560463849236;0.4217114448547363;0.5182888190296795;0.0768977722491617;0.17871947111906827;0.8011678625036169;0.4887000189887153;0.5308287443938079;0.5646492569534867;44.70175519235147;681.4882232668359;49.8267971889268;44.132306081620875;19.975736905511656;0.9460166984728469;1.0000022038326852;421.459961;26.55896500999958;7.93148000000023;386.69081199999994;92.93330599999999;293.757506;9.120817000000196;385.501475;42.30769230769231;57.692307692307686;33.11036789297659;24.581939799331103;43.47826086956522;56.52173913043478;0.01881905930324003;0.9175030792545438;0.22050328524564158;0.6969997940089022;0.021641004707444074;0.9146811338503399;36.017656253709944;49.11498580051356;28.187730981164304;20.927254819349255;37.01419219748848;48.118449856735026;1.5683577591371722;1.566325203765949;8.989563117220941;5575.9883548034595;0.035991670821947645;1664.5011331381031;46.00581229834786;0.0020581258438030275;4559.171634574579;39.32415513790118;0.035991670821947645;276.6805995716249;46.01916314747751;5.443738274163281;287.70116202941983;21.90000825286059;7.529212697059145;488.0815074130767;131.57245040964148;23.88457293586848;488.0815074130767;19.65049842665173;7.529212697059145;103.0664241865068;403.5697521486237;92.71434759015808;1211.2103832398;16.239992312741666;1.4418008193734246;131.0636001369977;0.040240856075756934;0.010713000000009743;0.1843049999999984;1
Participant 10 23-04-13-crt1-evening;0.35617825541514503;0.061661597860139084;0.025219196782392615;0.8655941346112419;0.3282997467938591;0.35025477409362793;0.37000083222108726;0.5228756158662243;0.07444688298916921;0.1512851856372974;0.6872395550763166;0.5084608289930556;0.5434694643373843;0.5672256540369105;18.945476729566618;458.54475881052764;30.826538407430427;31.14764818250783;16.78680603324207;0.7398780689785532;1.000011749983307;373.70397700000007;13.642975010000356;4.087520999999912;355.80094499999984;51.31662899999997;304.48431599999986;4.243555999999915;355.64490999999987;34.95702005730659;65.0429799426934;28.36676217765043;36.67621776504298;35.24355300859599;64.75644699140402;0.01093785790778435;0.9520930118439702;0.1373189266326699;0.8147740852113003;0.01135539427240271;0.9516754754793519;19.58769627972142;36.44595947128493;15.894933866331316;20.55102560495362;19.748251167260122;36.285404583746235;1.035579024624616;1.0341486024930018;5.999244095243862;3181.350041092627;0.011965177251483163;2859.886956837639;27.5852036058024;0.022618862944868118;2602.5349481316944;24.049010429835523;0.011965177251483163;111.61693557553558;27.596173935471207;4.686940175751376;171.5320616129751;15.88130702711595;6.621228812565691;513.4830555481038;120.1190852002359;15.038127091981183;513.4830555481038;14.683800069631207;6.621228812565691;85.09882051049053;335.2864227198343;87.82993381348452;657.7237257634655;11.85052923927232;1.4056302607518367;99.18298494913596;0.03534449484456051;0.011340000000018335;0.19601500000000271;1
Participant 10 23-04-13-crt1-morning;0.3916285631354128;0.07293925819125174;0.09855635727153104;0.8720931445851046;0.36034031475291534;0.37665585910572724;0.3939522855422076;0.5615911992201217;0.0767750739551597;0.14776277895326972;0.724608979401765;0.547002523916739;0.5793638723867911;0.6098915382667824;30.65076048890288;582.8174161929315;38.502186821035636;41.52196617954824;47.93883458078649;0.7227025514394372;1.000001527927938;397.38002600000004;19.118381009999386;4.863000000000124;373.10333100000037;75.47118199999997;297.6321490000004;6.019110000000218;371.9472210000003;36.98924731182795;63.01075268817205;34.623655913978496;28.387096774193548;38.494623655913976;61.505376344086024;0.01223765585037262;0.9389081146217458;0.18992193130512292;0.7489861833166229;0.015146986778847855;0.9359987836932706;25.97010248320835;44.239767602209575;24.309223836026423;19.930543766183153;27.027025258687758;43.18284482673017;1.336252366141825;1.3341607658184684;7.9998560025920895;3879.4051788128627;0.0015837573059431231;156.8359486158865;35.00338846425445;0.0037226964611989087;2267.491005500702;28.904019896787354;0.0015837573059431231;156.8359486158865;35.01105654702046;5.864422913575119;184.77698740775918;19.788372011486462;8.42472616872507;645.7395280602317;135.52396152821214;32.1481729776575;645.7395280602317;18.27988327697564;8.42472616872507;87.83255710872906;334.81282750852785;101.61042341480749;707.7006993250736;12.0775079308363;1.7743045399724466;120.03627687381172;0.036072416999998844;0.010646000000001266;0.2601039999999841;0
Participant 10 23-04-13-crt2-afternoon;0.4005604893371491;0.09342592293107489;0.1429599032682531;0.8136123208438649;0.345578670501709;0.38564390294692097;0.42066330068251667;0.5408346320963686;0.09030607087556335;0.16474931504991316;0.7049498381438078;0.5057084260163484;0.5705190022786458;0.6004963627567999;29.77043629424337;551.3538201579602;40.45041344016028;36.44542201044144;18.03821612493399;0.6544957270901206;1.0000050707184485;449.439164;22.428926009999515;5.38394000000035;421.39424900000006;92.53510900000005;328.85914;6.0563330000002855;420.7218560000001;35.361216730038024;64.63878326996198;36.69201520912547;27.9467680608365;36.12167300380228;63.87832699619772;0.01197924086562325;0.9376001976543371;0.20589017694061046;0.7317100207137267;0.013475312089180295;0.9361041264307801;24.830946864256806;45.38990287014685;25.765444864524536;19.624458005622316;25.36494572155265;44.855904012851;1.2838222527487613;1.2822361136884215;11.99965201009169;4002.7574460325427;0.002472063677091519;1256.9758852777072;35.426759099597945;0.03429051505622771;3454.017211240862;29.99078459423632;0.002472063677091519;152.82042726004607;35.43202956805029;4.977984318508554;201.68282736064026;19.15830981321093;7.578061950184415;647.6074848433216;134.2146350466218;33.08995273950853;647.6074848433216;17.688293663356866;7.578061950184415;103.2256973142556;344.1374791915164;93.22362112614515;763.9707408519173;13.40040635078866;1.499222274951736;108.02363973520441;0.03893910765624916;0.011692000000000036;0.19601800000000935;1
Participant 10 23-04-13-crt2-evening;0.39295727144815734;0.08159027421542203;0.16184808226192698;0.8597801993874943;0.34003636416266947;0.3951884157517377;0.4332580846898696;0.5394195736865252;0.08622978613435858;0.2020998354311343;0.7259102432816116;0.5041048120569299;0.571239217122396;0.5953532607467087;24.338201267594837;520.8658073605617;43.299358069093145;31.13025743529572;14.529248280542195;0.6829300342428708;1.0000001310494284;424.024762;19.52810801000012;3.521547000000176;400.78234899999967;94.68953699999956;306.0928120000001;4.338561000000162;399.9653349999997;27.66393442622951;72.3360655737705;38.9344262295082;33.40163934426229;28.688524590163933;71.31147540983606;0.008305050354583244;0.9451861893857973;0.22331133812416257;0.7218748512616348;0.01023185763854084;0.9432593821018398;19.10265797165874;49.9499130666336;26.88522233048267;23.064690736150922;19.81016382246092;49.24240721583142;1.2428519445758217;1.235651593092733;7.968183045100902;3619.9395765211743;0.03336633079894975;173.68478635284123;33.0776908773263;0.00367109487829954;2822.46296392259;27.848906660986405;0.03336633079894975;173.68478635284123;33.0454711065638;5.869584445764007;189.62645405288814;18.34635757506353;8.629282274915894;655.1029318736357;125.74123156019;31.893530032837663;655.1029318736357;17.402712983284733;8.629282274915894;84.81418162812382;337.4260758878822;105.14890250544231;1064.0510457857456;12.527172728762473;1.6651380200754566;107.4880555998526;0.03712568062737666;0.011829000000005863;0.2118870000000186;1
Participant 10 23-04-13-crt2-morning;0.3853867282807481;0.07973952894873858;0.1898172602933996;0.8438063789816463;0.3375651696149041;0.36766419691198016;0.4113401384914622;0.5593111972397958;0.092246402539337;0.182464599609375;0.7139236450195313;0.5168765032732928;0.5789882942482277;0.6274584099098488;33.70020734619641;606.7657524591613;43.42142100375306;43.259400776127116;24.81923026368573;0.7287539744659942;1.0000020324144046;370.324131;19.58362900999981;4.529972000000441;345.97097699999983;79.49818699999994;266.4727899999999;5.715496000000371;344.78545299999996;38.25363825363826;61.74636174636174;34.511434511434516;27.234927234927238;39.70893970893971;60.2910602910603;0.012232451576320424;0.9342382740918382;0.21467190589316454;0.7195663681986738;0.015433766048587233;0.9310369596195716;29.811721883173742;48.12000760490544;26.895357785906743;21.2246498189987;30.945863476555353;46.98586601152383;1.447380700125102;1.4427773681526872;6.999615021174011;4270.6279173802905;0.04316633176008058;2487.502205389179;37.74952721242115;0.010597798604961337;7113.39788136935;32.80692114617494;0.04316633176008058;136.35969288332635;37.740930876693646;6.2404321790500275;151.9715929400375;20.778190482016843;8.694633418159638;952.7126878981018;130.16579583404584;32.27185379823309;952.7126878981018;19.345923551765047;8.694633418159638;100.55730821087705;340.70128704650523;97.36719601145454;861.2080246774706;12.471341324763015;1.5596277457117251;117.88225423488758;0.03660491403738282;0.011902000000020507;0.2079300000000046;0
Participant 10 23-04-13-game-afternoon;0.42938607721688626;0.04251058454554209;0.14397358894348145;0.930117831510656;0.4072228880489574;0.43264114155488853;0.4518517886891084;0.520319109623525;0.04916252172074258;0.1670370031286169;0.6769559507016782;0.4984472204137731;0.5266233938711661;0.5467851709436486;5.644402862502905;490.2754579406593;7.482115422387571;7.41648283096312;7.881942570889788;0.6853672238016152;1.000000840016053;914.179963;9.495769010000222;2.1637399999998834;902.4769689999999;30.123754999999946;872.353214;2.6478639999998705;901.9928449999999;28.37837837837838;71.62162162162163;31.53153153153153;40.090090090090094;29.72972972972973;70.27027027027027;0.0023668643894789493;0.9871983696059196;0.032951668401421684;0.9542467012044978;0.0028964362676584614;0.98666879772774;4.1348532597405;10.43558203648793;4.594281399711667;5.841300636776262;4.331751034013857;10.238684262214571;0.24940384741291904;0.2473034656284838;5.976524212891919;2190.969830698584;0.004435694922418481;304.6587326513614;18.639307093138772;0.008825271711036345;2521.0412140322824;10.062259177278357;0.004435694922418481;131.2635872381843;18.63384678568095;6.014470269799498;143.00260115807498;14.840609015454413;10.499019834377656;496.8812900058849;116.93086241482348;18.14970344765327;496.8812900058849;14.595841811049521;10.499019834377656;87.39801869077107;380.2978942541149;70.39477277029181;1026.1064281221338;15.908462373685312;1.7155672058034561;115.22059022823369;0.041831581541851195;0.009467000000086045;0.23592599999994945;1
Participant 10 23-04-13-game-evening;0.4260868248703026;0.03592249568790056;0.21069331730113314;0.7861618154189166;0.4093903934254366;0.4242910637575037;0.44068968296051025;0.499804670406554;0.04144529119353957;0.16601884629991315;0.6351740519205729;0.481555755050094;0.501691832365813;0.523862400761357;5.701511306253711;451.55969545529393;10.959571733132133;13.810327386258988;29.09231364180567;0.7086254247205933;1.0000013630227904;947.1173010000001;12.79901201000013;2.1940890000003668;931.9722659999995;55.51605199999979;876.4562139999997;3.525427000000155;930.6409279999998;20.891364902506965;79.10863509749304;38.71866295264624;40.389972144846794;23.119777158774372;76.88022284122563;0.002316596896375739;0.984009335502572;0.05861581447343847;0.9253935210291334;0.003722270722198701;0.9826036616767491;4.751259421878093;17.99143567751171;8.805667461880732;9.18576821563098;5.258060426878422;17.484634672511383;0.4138874874169361;0.41187999805894027;7.9594703768412;2148.9378287169566;0.0009117250633156722;1398.4036425042304;18.741170236988395;0.002479876696028868;2349.3339069073136;10.175532234719308;0.0009117250633156722;172.14112152788036;18.724680712843334;6.01829136545649;189.17363096550736;14.260809558844763;9.093570675262287;562.5557946776842;106.54648314561453;29.10120693699749;562.5557946776842;14.043546676118854;9.093570675262287;77.38810724580543;344.9308641443856;108.60927280062096;689.917974485672;11.290982794894411;1.723086112977778;101.60280563646178;0.03273404606138141;0.011883000000011634;0.19586500000002616;1
Participant 10 23-04-13-game-morning;0.4353541879744392;0.044997240674170824;0.11934033562155331;0.9085341060862822;0.4148459995494169;0.4362422438228832;0.45428862291223865;0.5728733229085566;0.050641759864391775;0.1956610785590278;0.738660176595052;0.5533453482168691;0.5826520566587094;0.6014874211064092;8.634623157990232;503.3321099326922;9.165984583097323;9.63092583006603;14.910902793545322;0.7412941254316703;1.0000021283859633;903.3399440000001;12.269100010000354;2.373609000000446;888.6083669999991;41.79057399999941;846.8177929999997;3.2008010000005847;887.7811749999989;25.0936329588015;74.90636704119851;37.07865168539326;37.82771535580524;26.96629213483146;73.03370786516854;0.0026275922101817806;0.983692100523343;0.046262289493089664;0.9374298110302534;0.003543296210092736;0.9827763965234321;4.450151935271889;13.28403562767728;6.575597635700254;6.708437991977027;4.782252825963821;12.951934736985349;0.3143888431883623;0.3135169263830399;8.972946566103156;2527.65056465393;0.02050187151528532;167.08719994747776;20.99791445749539;0.010125317690066445;3534.736752443505;10.50324887969688;0.02050187151528532;167.08719994747776;20.997343042852222;7.108010072408598;249.64111992056507;15.967422227870097;10.39377063470636;624.1962995667722;110.68539254207299;34.841982650689516;624.1962995667722;15.7144160274008;10.39377063470636;95.23724088976991;385.7986794996024;78.1179464457103;805.3104199265691;16.725804178468884;1.7169085485497166;138.31103094477933;0.043353710282686767;0.011740000000003192;0.2437360000000126;0
Participant 10 23-04-13-reading-afternoon;0.4575805200866385;0.060657596186519364;0.1155173848657047;0.8218369203455308;0.4127323487225701;0.45936741548426013;0.5015308716717888;0.5144120115207542;0.03781172611517656;0.1466881080910012;0.6676621613679109;0.4986255787037037;0.5149371111834491;0.5337102254231771;8.471611966007337;599.0820521633248;28.07011726050192;25.79416180694771;60.110266231351375;0.6668831390093809;1.0000000255407793;949.051967;28.996750009999953;2.790698999999595;917.1350480000001;188.80008400000014;728.334964;4.95119999999952;914.9745470000004;10.774818401937045;89.22518159806295;44.67312348668281;44.55205811138014;12.34866828087167;87.65133171912834;0.002940512318646925;0.9663696824728252;0.19893545407930244;0.7674342283935227;0.0052169956674243114;0.9640931991240479;5.626667649064575;46.59386581304035;23.328543398930652;23.265322414109704;6.448540451736927;45.771993010368;0.8987916675378431;0.897764649132046;4.999975000125063;3129.033904859714;0.011343899767008957;1313.5223286181442;28.98072534098752;0.02105652484544338;3464.4852563335467;17.493715662431768;0.011343899767008957;169.01167903918932;28.983692287021405;6.131268128964377;188.67412952318608;18.839059620174623;9.367553581707053;779.7211985064672;115.63547035794322;20.171444618292714;779.7211985064672;18.544523229868616;9.367553581707053;82.00340146965713;350.37210221740537;58.760022848735105;780.3128208755764;11.92447448177964;1.5345420221214585;147.44269503739937;0.034033744143192435;0.010646000000008371;0.22793799999999464;1
